	album	artist	time	track
45	Led+Zeppelin+(1)	Dazed And Confused	2016-12-03 03:04:00	Led Zeppelin
46	Aja	Deacon Blues	2016-12-03 03:11:00	Steely Dan
47	Sticky+Fingers	Dead Flowers	2016-12-03 03:19:00	The Rolling Stones
48	Sometimes+I+Sit+and+Think,+and+Sometimes+I+Just+Sit	Dead Fox	2016-12-03 03:23:00	Courtney Barnett
49	Drag+City	Dead Man's Curve	2016-12-03 03:26:00	Jan & Dean
50	Album+Iii	Dead Skunk	2016-12-03 03:29:00	Loudon Wainwright III
51	Garcia	Deal	2016-12-03 03:32:00	Jerry Garcia
52	Butterfly	Dear Eloise	2016-12-03 03:35:00	The Hollies
53	Skylarking	Dear God	2016-12-03 03:38:00	XTC
54	Monsters+of+Folk	Dear God (Sincerely M.O.F.)	2016-12-03 03:42:00	Monsters of Folk
55	Mr.+Fantasy	Dear Mr. Fantasy	2016-12-03 03:47:00	Traffic
56	Hy?na	Dear Prudence	2016-12-03 03:54:00	Siouxsie & The Banshees
57	The+Beatles	Dear Prudence	2016-12-03 03:57:00	The Beatles
58	...And+The+War+Came	Dearly Departed	2016-12-03 04:01:00	Shakey Graves
59	London+Calling	Death or Glory	2016-12-03 04:05:00	The Clash
60	Doolittle	Debaser	2016-12-03 04:09:00	The Pixies
61	Gentlemen	Debonair	2016-12-03 04:12:00	The Afghan Whigs
62	Greatest+Hits+Whirls	Dedicated Follower Of Fashion	2016-12-03 04:16:00	The Kinks
63	16+Of+Their+Greatest+Hits	Dedicated To The One I Love	2016-12-03 04:19:00	The Mamas & The Papas
64	Mental+Floss+For+The+Globe	Deeper Shade Of Soul	2016-12-03 04:23:00	Urban Dance Squad
65	Django+Django	Default	2016-12-03 04:27:00	Django Django
66	CSN&Y	Deja Vu	2016-12-03 04:30:00	Crosby Stills Nash & Young
67	CSN&Y	Deja Vu	2016-12-03 04:30:00	Crosby Stills Nash & Young
68	Euphoria	Delerium	2016-12-03 04:34:00	Euphoria
69	1999	Delirious	2016-12-03 04:39:00	Prince
70	Leon+Russell	Delta Lady	2016-12-03 04:43:00	Leon Russell
71	Brand+New+Day	Desert Rose	2016-12-03 04:47:00	Sting
72	Highway+61+Revisited	Desolation Row	2016-12-03 04:52:00	Bob Dylan
73	Getz+/+Gilberto	Desafinado	2016-12-03 05:04:00	Stan Getz & Joao Gilberto
74	Desperado	Desperado	2016-12-03 05:11:00	The Eagles
75	Warren+Zevon	Desperados Under The Eaves	2016-12-03 05:14:00	Warren Zevon
76	A+Dotted+Line	Destination	2016-12-03 05:18:00	Nickel Creek
77	Simple+Things	Destiny	2016-12-03 05:23:00	Zero 7
78	Give+the+People+What+They+Want	Destroyer	2016-12-03 05:27:00	The Kinks
79	Nightmares...+And+Other+Tales+From+The+Vinyl+Jungle	Detroit Breakdown	2016-12-03 05:30:00	The J. Geils Band
80	Rev+It+Up:+The+Best+Of+Mitch+Ryder+And+The+Detroit+Wheels	Devil With A Blue Dress On/Good Golly Miss Molly	2016-12-03 05:36:00	Mitch Ryder & The Detroit Wheels
81	Odelay	Devil's Haircut	2016-12-03 05:40:00	Beck
82	Rodrigo+Y+Gabriela	Diablo Rojo	2016-12-03 05:43:00	Rodrigo Y Gabriela
83	Diamond+Dogs	Diamond Dogs	2016-12-03 05:49:00	David Bowie
84	Diamonds+And+Rust	Diamonds And Rust	2016-12-03 05:55:00	Joan Baez
85	Diamonds+On+The+Inside	Diamonds On The Inside	2016-12-03 06:00:00	Ben Harper
86	Graceland	Diamonds On The Soles Of Her Shoes	2016-12-03 06:04:00	Paul Simon
87	Modern+Vampires+Of+The+City	Diane Young	2016-12-03 06:10:00	Vampire Weekend
88	Poetic+Champions+Compose	Did Ye Get Healed?	2016-12-03 06:14:00	Van Morrison
89	The+Super+Super+Blues+Band	Diddley Daddy	2016-12-03 06:18:00	Howlin' Wolf, Muddy Waters & Bo Diddley
90	Soul+Hits+Of+The+70's	Didn't I (Blow Your Mind This Time)	2016-12-03 06:23:00	The Delfonics
91	About+Time	Different Light	2016-12-03 06:27:00	Steve Winwood
92	Let+It+Be	Dig A Pony	2016-12-03 06:31:00	The Beatles
93	Lenny	Dig In	2016-12-03 06:35:00	Lenny Kravitz
94	St.+Vincent	Digital Witness	2016-12-03 06:38:00	St. Vincent
95	My+Time	Dinah Flo	2016-12-03 06:42:00	Boz Scaggs
96	New+York	Dirty Blvd.	2016-12-03 06:46:00	Lou Reed
97	Over-Nite+Sensation	Dirty Love	2016-12-03 06:50:00	Frank Zappa
98	Antibalas	Dirty Money	2016-12-03 06:53:00	Antibalas
99	First+Offence	Dirty Water	2016-12-03 06:58:00	The Inmates
100	Nuggets:+Classics+From+The+Psychedelic+60's	Dirty Water	2016-12-03 07:01:00	The Standells
101	Can't+Buy+A+Thrill	Dirty Work	2016-12-03 07:04:00	Steely Dan
102	Discipline	Discipline	2016-12-03 07:07:00	King Crimson
103	The+Best+Of+The+Brother+Years	Disney Girls (1957)	2016-12-03 07:13:00	The Beach Boys
104	Pretty+Close+To+The+Truth	Divide And Conquer	2016-12-03 07:17:00	Jim Lauderdale
105	Last+Splash	Divine Hammer	2016-12-03 07:20:00	The Breeders
106	Girlfriend	Divine Intervention	2016-12-03 07:23:00	Matthew Sweet
107	Hotwired	Divine Thing	2016-12-03 07:29:00	Soup Dragons
108	D-I-V-O-R-C-E	D	2016-12-03 07:32:00	Tammy Wynette
109	Dixie+Chicken	Dixie Chicken	2016-12-03 07:35:00	Little Feat
110	Land+Of+Dreams	Dixie Flyer	2016-12-03 07:41:00	Randy Newman
111	Puzzle	Dizz Knee Land	2016-12-03 07:45:00	Dada
112	Life+On+The+Line	Do Anything You Wanna Do	2016-12-03 07:49:00	Eddie & The Hot Rods
113	AM	Do I Wanna Know	2016-12-03 07:53:00	Arctic Monkeys
114	Var:+In+Yo'+Face	Do It ('til Your Satisfied)	2016-12-03 07:58:00	B. T. Express
115	Can't+Buy+A+Thrill	Do It Again	2016-12-03 08:02:00	Steely Dan
116	20/20	Do It Again	2016-12-03 08:07:00	The Beach Boys
117	Word+Of+Mouth	Do It Again	2016-12-03 08:09:00	The Kinks
118	The+London+Howlin'+Wolf+Sessions	Do The Do	2016-12-03 08:15:00	Howlin' Wolf
119	The+History+Of+British+Rock,+Vol.+2	Do Wah Diddy Diddy	2016-12-03 08:17:00	Manfred Mann
120	A+New+World+Record	Do Ya	2016-12-03 08:19:00	Electric Light Orchestra
121	They+Want+My+Soul	Do You	2016-12-03 08:24:00	Spoon
122	Do+You+Believe+In+Magic?	Do You Believe In Magic?	2016-12-03 08:27:00	The Lovin' Spoonful
123	Dionne+Warwick+In+Valley+Of+The+Dolls	Do You Know the Way To San Jose	2016-12-03 08:29:00	Dionne Warwick
124	Fifth	Do You Know What I Mean	2016-12-03 08:32:00	Lee Michaels
125	Do+You+Love+Me+(Now+That+I+Can+Dance)	Do You Love Me?	2016-12-03 08:35:00	The Contours
126	Yoshimi+Battles+The+Pink+Robots	Do You Realize?	2016-12-03 08:40:00	The Flaming Lips
127	End+Of+The+Century	Do You Remember Rock N' Roll Radio?	2016-12-03 08:43:00	The Ramones
128	Rocket+To+Russia	Do You Wanna Dance?	2016-12-03 08:47:00	The Ramones
129	You+Could+Have+It+So+Much+Better	Do You Want To	2016-12-03 08:49:00	Franz Ferdinand
130	Jackson+Browne	Doctor My Eyes	2016-12-03 08:54:00	Jackson Browne
131	Revolver	Doctor Robert	2016-12-03 08:57:00	The Beatles
132	Katy+Lied	Doctor Wu	2016-12-03 08:59:00	Steely Dan
133	Into+The+Gap	Doctor! Doctor!	2016-12-03 09:03:00	The Thompson Twins
134	The+Chicago+Transit+Authority	Does Anybody Really Know What Time It Is?	2016-12-03 09:08:00	Chicago Transit Authority
135	Greetings+From+Asbury+Park+NJ	Does This Bus Stop At 82nd Street	2016-12-03 09:14:00	Bruce Springsteen
136	Lungs	Dog Days Are Over	2016-12-03 09:16:00	Florence And The Machine
137	Animals	Dogs	2016-12-03 09:21:00	Pink Floyd
138	Sublime	Doin' Time	2016-12-03 09:39:00	Sublime
139	Experience+Hendrix+-+The+Best+Of+Jimi+Hendrix	Dolly Dagger	2016-12-03 09:44:00	Jimi Hendrix
140	His+Band+And+The+Street+Choir	Domino	2016-12-03 09:48:00	Van Morrison
141	Doing+It+To+Death	Doing It To Death	2016-12-03 09:52:00	James Brown
142	Don't+Be+Afraid+Of+The+Dark	Don't Be Afraid Of The Dark	2016-12-03 10:00:00	Robert Cray
143	Time+Fades+Away	Don't Be Denied	2016-12-03 10:03:00	Neil Young
144	Pneumonia	Don't Be Sad	2016-12-03 10:09:00	Whiskeytown
145	It+Takes+A+Nation+Of+Millions+To+Hold+Us+Back	Don't Believe The Hype	2016-12-03 10:14:00	Public Enemy
146	Rumblefish+(soundtrack)	Don't Box Me In	2016-12-03 10:19:00	Stan Ridgway
147	Discovery	Don't Bring Me Down	2016-12-03 10:24:00	Electric Light Orchestra
148	Animalization	Don't Bring Me Down	2016-12-03 10:28:00	The Animals
149	Mind,+Body+&+Soul	Don't 'cha Wanna Ride	2016-12-03 10:32:00	Joss Stone
150	Shabooh+Shoobah	Don't Change	2016-12-03 10:36:00	INXS
151	Southern+Accents	Don't Come Around Here No More	2016-12-03 10:40:00	Tom Petty
152	People+Gonna+Talk	Don't Come Back	2016-12-03 10:47:00	James Hunter
153	The+Definitive+Collection	Don't Come Home A	2016-12-03 10:49:00	Loretta Lynn
154	Zuma	Don't Cry No Tears	2016-12-03 10:51:00	Neil Young
155	Rock+Of+Ages	Don't Do It	2016-12-03 10:55:00	The Band
156	Damn+The+Torpedos	Don't Do Me Like That	2016-12-03 11:00:00	Tom Petty & The Heartbreakers
157	Crowded+House	Don't Dream It's Over	2016-12-03 11:02:00	Crowded House
158	Before+These+Crowded+Streets	Don't Drink The Water	2016-12-03 11:06:00	Dave Matthews Band
159	Go+To+Heaven	Don't Ease Me In	2016-12-03 11:12:00	Grateful Dead
160	Get+Close	Don't Get Me Wrong	2016-12-03 11:15:00	The Pretenders
161	So	Don't Give Up	2016-12-03 11:19:00	Peter Gabriel
162	Upstairs+At+Eric's	Don't Go	2016-12-03 11:25:00	Yaz
163	"""Candy+Everybody+Wants""+(single)"	Don't Go Back To Rockville	2016-12-03 11:29:00	10,000 Maniacs
164	Reckoning	Don't Go Back To Rockville	2016-12-03 11:33:00	R. E. M.
165	Pickin'+Up+the+Pieces	Don't Gotta Work It Out	2016-12-03 11:38:00	Fitz & The Tantrums
166	Pickin'+Up+the+Pieces	Don't Gotta Work It Out	2016-12-03 11:38:00	Fitz & The Tantrums
167	The+Hissing+Of+Summer+Lawns	Don't Interrupt The Sorrow	2016-12-03 11:42:00	Joni Mitchell
168	Let+Me+Get+By	Don't Know What It Means	2016-12-03 11:46:00	Tedeschi Trucks Band
169	Come+Away+With+Me	Don't Know Why	2016-12-03 11:52:00	Norah Jones
170	After+The+Gold+Rush	Don't Let It Bring You Down	2016-12-03 11:57:00	Neil Young
171	Greatest+Hits	Don't Let Me Be Lonely Tonight	2016-12-03 12:00:00	James Taylor
172	Retrospective	Don't Let Me Be Misunderstood	2016-12-03 12:02:00	The Animals
173	Past+Masters,+Vol.+2	Don't Let Me Down	2016-12-03 12:06:00	The Beatles
174	They+Might+Be+Giants	Don't Let's Start	2016-12-03 12:10:00	They Might Be Giants
175	Don't+Look+Back	Don't Look Back	2016-12-03 12:13:00	Boston
176	Bush+Doctor	Don't Look Back	2016-12-03 12:19:00	Peter Tosh
177	(What's+The+Story)+Morning+Glory?	Don't Look Back In Anger	2016-12-03 12:23:00	Oasis
178	Bop+Till+You+Drop	Don't Mess Up A Good Thing	2016-12-03 12:28:00	Ry Cooder
179	Bright+Lights+EP	Don't Owe You A Thang	2016-12-03 12:32:00	Gary Clark Jr.
180	Boston,+Mass.	Don't Run Wild	2016-12-03 12:36:00	Del Fuegos
181	Zenyatta+Mondatta	Don't Stand So Close To Me	2016-12-03 12:39:00	The Police
182	Rumours	Don't Stop	2016-12-03 12:45:00	Fleetwood Mac
183	Torches	Don't Stop (Color On The Walls)	2016-12-03 12:48:00	Foster The People
184	Greatest+Hits	Don't Stop Believin'	2016-12-03 12:51:00	Journey
185	Boys+And+Girls	Don't Stop The Dance	2016-12-03 12:55:00	Bryan Ferry
186	Trouble+Will+Find+Me	Don't Swallow the Cap	2016-12-03 13:00:00	The National
187	The+Royal+Scam	Don't Take Me Alive	2016-12-03 13:04:00	Steely Dan
188	The+Fabulous+Johnny+Cash	Don't Take Your Guns To Town	2016-12-03 13:08:00	Johnny Cash
189	Mange+Tout	Don't Tell Me	2016-12-03 13:11:00	Blancmange
190	The+Freewheelin'+Bob+Dylan	Don't Think Twice, It's Alright	2016-12-03 13:16:00	Bob Dylan
191	Wait+For+Me	Don't Think Twice, It's Alright	2016-12-03 13:20:00	Susan Tedeschi
192	Careless+Love	Don't Wait Too Long	2016-12-03 13:24:00	Madeleine Peyroux
193	Careless+Love	Don't Wait Too Long	2016-12-03 13:24:00	Madeleine Peyroux
194	Back+And+Fourth	Don't Wanna Cry	2016-12-03 13:27:00	Pete Yorn
195	Sound+&+Color	Don't Wanna Fight	2016-12-03 13:32:00	Alabama Shakes
196	Shut+Down+Volume+2	Don't Worry Baby	2016-12-03 13:36:00	The Beach Boys
197	The+Breakfast+Club+(soundtrack)	Don't You (Forget About Me)	2016-12-03 13:39:00	Simple Minds
198	Mercy,+Mercy,+Mercy	Don't You Care	2016-12-03 13:43:00	The Buckinghams
199	Ga+Ga+Ga+Ga+Ga	Don't You Evah	2016-12-03 13:47:00	Spoon
200	New+Orleans+Party+Classics	Don't You Just Know It	2016-12-03 13:51:00	Huey Piano Smith & The Clowns
201	Dare!	Don't You Want Me	2016-12-03 13:56:00	The Human League
202	Innervisions	Don't You Worry Bout A Thing	2016-12-03 14:01:00	Stevie Wonder
203	Goats+Head+Soup	Doo Doo Doo Doo Doo (Heartbreaker)	2016-12-03 14:06:00	The Rolling Stones
204	Buena+Vista+Social+Club	Dos Gardenias	2016-12-03 14:09:00	Buena Vista Social Club
205	Anthology	Double Shot Of My Baby's Love	2016-12-03 14:12:00	Swingin' Medallions
206	Everybody+Knows+This+Is+Nowhere	Down By The River	2016-12-03 14:16:00	Neil Young
207	Physical+Graffiti	Down By The Seaside	2016-12-03 14:27:00	Led Zeppelin
208	The+King+is+Dead	Down By The Water	2016-12-03 14:32:00	The Decemberists
209	To+Bring+You+My+Love	Down By The Water	2016-12-03 14:36:00	PJ Harvey
210	The+Silver+Gymnasium	Down Down The Deep River	2016-12-03 14:39:00	Okkervil River
211	Bob+Dylan's+Greatest+Hits+Vol.+II	Down In The Flood	2016-12-03 14:47:00	Bob Dylan
212	Big+Brother+&+The+Holding+Company	Down On Me	2016-12-03 14:50:00	Big Brother & The Holding Company
213	Willy+And+The+Poor+Boys	Down On The Corner	2016-12-03 14:52:00	Creedence Clearwater Revival
214	Funhouse	Down On The Street	2016-12-03 14:56:00	The Stooges
215	Feats+Don't+Fail+Me+Now	Down The Road	2016-12-03 15:00:00	Little Feat
216	Dire+Straits	Down To The Waterline	2016-12-03 15:04:00	Dire Straits
217	Court+&+Spark	Down To You	2016-12-03 15:08:00	Joni Mitchell
218	Joan+Armatrading	Down To Zero	2016-12-03 15:17:00	Joan Armatrading
219	I+Want+To+See+The+Bright+Lights+Tonight	Down Where The Drunkards Roll	2016-12-03 15:20:00	Richard & Linda Thompson
220	Born+In+The+USA	Downbound Train	2016-12-03 15:24:00	Bruce Springsteen
221	DOWNTOWN	Downtown	2016-12-03 15:30:00	Petula Clark
222	Rain+Dogs	Downtown Train	2016-12-03 15:33:00	Tom Waits
223	Anthology	Draggin' The Line	2016-12-03 15:37:00	Tommy James & The Shondells
224	Solace	Drawn To The Rhythm	2016-12-03 15:41:00	Sarah McLachlan
225	Bloody+Tourists	Dreadlock Holiday	2016-12-03 15:45:00	10cc
226	Frosting+On+The+Beater	Dream All Day	2016-12-03 15:51:00	The Posies
227	Suicide:+Alan+Vega+and+Martin+Rev	Dream Baby Dream	2016-12-03 15:54:00	Suicide
228	Aerosmith	Dream On	2016-12-03 16:00:00	Aerosmith
229	Live+In+Atlanta	Dream On	2016-12-03 16:05:00	Train
230	Crime+Of+The+Century	Dreamer	2016-12-03 16:11:00	Supertramp
231	Harvest+Moon	Dreamin' Man	2016-12-03 16:14:00	Neil Young
232	Eat+to+the+Beat	Dreaming	2016-12-03 16:19:00	Blondie
233	Dreamland	Dreamland	2016-12-03 16:22:00	Madeleine Peyroux
234	The+Allman+Brothers+Band	Dreams	2016-12-03 16:27:00	The Allman Brothers
235	Dreams+(Single)	Dreams	2016-12-03 16:34:00	Beck
236	Everyone+Else+Is+Doing+It...	Dreams	2016-12-03 16:38:00	The Cranberries
237	Everyone+Else+Is+Doing+It...	Dreams	2016-12-03 16:38:00	The Cranberries
238	Rumours	Dreams	2016-12-03 16:43:00	Fleetwood Mac
239	Drift+Away	Drift Away	2016-12-03 16:49:00	Dobie Gray
240	Greatest+Hits	Drinkin' Wine Spo	2016-12-03 16:52:00	Jerry Lee Lewis
241	Automatic+For+The+People	Drive	2016-12-03 16:56:00	R. E. M.
242	Heartbeat+City	Drive	2016-12-03 17:01:00	The Cars
243	Zuma	Drive Back	2016-12-03 17:05:00	Neil Young
244	Rubber+Soul	Drive My Car	2016-12-03 17:08:00	The Beatles
245	American+Recordings	Drive On	2016-12-03 17:12:00	Johnny Cash
246	Slow+Turning	Drive South	2016-12-03 17:14:00	John Hiatt
247	Aladdin+Sane	Drive	2016-12-03 17:18:00	David Bowie
248	Zenyatta+Mondatta	Driven To Tears	2016-12-03 17:23:00	The Police
249	Fickle+Heart	Driver's Seat	2016-12-03 17:28:00	Sniff N The Tears
250	Respect	Driving Aloud (Radio Storm)	2016-12-03 17:32:00	Robyn Hitchcock & The Egyptians
251	One+All	Driving Me Mad	2016-12-03 17:36:00	Neil Finn
252	One+All	Driving Me Mad	2016-12-03 17:36:00	Neil Finn
253	Wide+Swing+Tremolo	Driving The View	2016-12-03 17:40:00	Son Volt
254	Soul+Shots+-+Volume+4:+Urban+Blues	Driving Wheel	2016-12-03 17:43:00	Little Junior Parker
255	The+Key	Drop The Pilot	2016-12-03 17:46:00	Joan Armatrading
256	Drops+Of+Jupiter	Drops Of Jupiter (Tell Me)	2016-12-03 17:49:00	Train
257	Teens+Of+Denial	Drunk Drivers/Killer Whales	2016-12-03 17:54:00	Car Seat Headrest
258	Car+Wheels+On+A+Gravel+Road	Drunken Angel	2016-12-03 18:00:00	Lucinda Williams
259	Paul+Simon	Duncan	2016-12-03 18:04:00	Paul Simon
260	Human+Performance	Dust	2016-12-03 18:09:00	Parquet Courts
261	Van+Hunt	Dust	2016-12-03 18:13:00	Van Hunt
262	Dust+Bowl	Dust Bowl	2016-12-03 18:17:00	Joe Bonamassa
263	Blues+Masters:+The+Very+Best+Of+Elmore+James	Dust My Broom	2016-12-03 18:21:00	Elmore James
264	Houses+Of+The+Holy	D'yer Mak'er	2016-12-03 18:25:00	Led Zeppelin
265	Singles+(soundtrack)	Dyslexic Heart	2016-12-03 18:29:00	Paul Westerberg
266	Guero	E Pro	2016-12-03 18:33:00	Beck
267	This+Is+Big+Audio+Dynamite	E=MC?	2016-12-03 18:37:00	Big Audio Dynamite
268	Damn+Right,+I've+Got+The+Blues	Early In The Morning	2016-12-03 18:45:00	Buddy Guy
269	How+Long+Has+This+Been+Going+On	Early In The Morning	2016-12-03 18:48:00	Van Morrison
270	Quarter+Moon+In+A+Ten+Cent+Town	Easy From Now On	2016-12-03 18:50:00	Emmylou Harris
271	Eric+Clapton	Easy Now	2016-12-03 18:54:00	Eric Clapton
272	The+Phosphorescent+Rat	Easy Now	2016-12-03 18:57:00	Hot Tuna
273	Cold+Roses	Easy Plateau	2016-12-03 19:02:00	Ryan Adams
274	Kaya	Easy Skanking	2016-12-03 19:10:00	Bob Marley & The Wailers
275	Mirror+Blue	Easy There, Steady Now	2016-12-03 19:13:00	Richard Thompson
276	Sailin'+Shoes	Easy To Slip	2016-12-03 19:17:00	Little Feat
277	America+Town	Easy Tonight	2016-12-03 19:21:00	Five For Fighting
278	Metro+Music	Echo Beach	2016-12-03 19:25:00	Martha & The Muffins
279	When+I+Woke	Ecstacy	2016-12-03 19:29:00	Rusted Root
280	Bella+Donna	Edge Of Seventeen	2016-12-03 19:34:00	Stevie Nicks
281	The+Hissing+Of+Summer+Lawns	Edith And The Kingpin	2016-12-03 19:41:00	Joni Mitchell
282	Beatles+For+Sale	Eight Days A Week	2016-12-03 19:45:00	The Beatles
283	(single)	Eight Miles High	2016-12-03 19:48:00	Husker Du
284	The+Essential+Simon+&+Garfunkel	El Condor Pasa (If I Could)	2016-12-03 19:53:00	Simon & Garfunkel
285	Don't+Shoot+Me+Im+Only+The+Piano+Player	Elderberry Wine	2016-12-03 19:56:00	Elton John
286	Vs.	Elderly Woman Behind The Counter In A Small Town	2016-12-03 20:00:00	Pearl Jam
287	Revolver	Eleanor Rigby	2016-12-03 20:03:00	The Beatles
288	Billion+Dollar+Babies	Elected	2016-12-03 20:06:00	Alice Cooper
289	Oracular+Spectacular	Electric Feel	2016-12-03 20:10:00	MGMT
290	Candy+EP	Electric Love	2016-12-03 20:14:00	Borns
291	Greatest+Hits+1990-2000	Electrical Storm	2016-12-03 20:18:00	U2
292	Discipline	Elephant Talk	2016-12-03 20:22:00	King Crimson
293	All+That+You+Can't+Leave+Behind	Elevation	2016-12-03 20:28:00	U2
294	Wind+&+Wuthering	Eleventh Earl Of Mar	2016-12-03 20:32:00	Genesis
295	Eli+And+The+13th+Confession	Eli's Comin'	2016-12-03 20:41:00	Laura Nyro
296	Bo-Day-Shus!!!	Elvis Is Everywhere	2016-12-03 20:45:00	Mojo Nixon
297	Surrealistic+Pillow	Embryonic Journey	2016-12-03 20:50:00	Jefferson Airplane
298	It's+Hard	Eminence Front	2016-12-03 20:53:00	The Who
299	Emotional+Rescue	Emotional Rescue	2016-12-03 20:59:00	The Rolling Stones
300	Midnight	Empty Heart	2016-12-03 21:05:00	Grace Potter
301	John+Barleycorn+Must+Die	Empty Pages	2016-12-03 21:09:00	Traffic
302	Volume+One	End of the Line	2016-12-03 21:13:00	Traveling Wilburys
303	In+Praise+Of+Older+Women+&+Other+Crimes	Endicott	2016-12-03 21:17:00	Kid Creole & The Coconuts
304	Nothing+Like+The+Sun	Englishman In New York	2016-12-03 21:21:00	Sting
305	Violator	Enjoy The Silence	2016-12-03 21:27:00	Depeche Mode
306	More+Specials	Enjoy Yourself	2016-12-03 21:32:00	The Specials
307	Organisation	Enola Gay	2016-12-03 21:35:00	Orchestral Manoeuvres In The Dark
308	Bankrupt!	Entertainment	2016-12-03 21:41:00	Phoenix
309	Robert+Hazard	Escalator Of Life	2016-12-03 21:44:00	Robert Hazard
310	Making+Movies	Espresso Love	2016-12-03 21:48:00	Dire Straits
311	Terrapin+Station	Estimated Prophet	2016-12-03 21:54:00	Grateful Dead
312	Achtung+Baby	Even Better Than The Real Thing	2016-12-03 21:59:00	U2
313	Damn+The+Torpedos	Even The Losers	2016-12-03 22:03:00	Tom Petty & The Heartbreakers
314	Our+Shadows+Will+Remain	Even Tho	2016-12-03 22:07:00	Joseph Arthur
315	Ten	Evenflow	2016-12-03 22:12:00	Pearl Jam
316	Bande+A+Part	Ever Fallen In Love?	2016-12-03 22:18:00	Nouvelle Vague
317	Singles+Going+Steady	Ever Fallen In Love?	2016-12-03 22:22:00	The Buzzcocks
318	Brothers	Everlasting Light	2016-12-03 22:24:00	The Black Keys
319	Everlasting+Love	Everlasting Love	2016-12-03 22:28:00	Robert Knight
320	The+Colour+And+The+Shape	Everlong	2016-12-03 22:31:00	Foo Fighters
321	Double+Fun	Every Kind Of People	2016-12-03 22:35:00	Robert Palmer
322	The+Way+It+Is	Every Little Kiss	2016-12-03 22:38:00	Bruce Hornsby & The Range
323	Yes	Every Little Thing	2016-12-03 22:46:00	Yes
