album	artist	release_year	time	track
The Shepherd's Dog	Iron And Wine		2016-12-01 17:24:00	Boy With A Coin
Crazy For You	Best Coast		2016-12-01 17:29:00	Boyfriend
Please Please Me	The Beatles		2016-12-01 17:32:00	Boys
Boys Don't Cry	The Cure		2016-12-01 17:34:00	Boys Don't Cry
Chase The Sun	Greg Holden		2016-12-01 17:37:00	Boys in the Street
A Sailor?s Guide To Earth	Sturgill Simpson		2016-12-01 17:44:00	Brace For Impact
London Calling	The Clash		2016-12-01 17:48:00	Brand New Cadillac
Brand New Day	Sting		2016-12-01 17:50:00	Brand New Day
The Best Of Melanie	Melanie		2016-12-01 17:57:00	Brand New Key
Strongg	Black Uhuru		2016-12-01 18:00:00	Brand New World
Grievous Angel	Gram Parsons		2016-12-01 18:04:00	Brass Buttons
Pretenders	The Pretenders		2016-12-01 18:10:00	Brass In Pocket
The Doors	The Doors		2016-12-01 18:13:00	Break On Through
In Between Dreams	Jack Johnson		2016-12-01 18:15:00	Breakdown
Breakfast In America	Supertramp		2016-12-01 18:23:00	Breakfast In America
UB40	UB40		2016-12-01 18:26:00	Breakfast In Bed
Low	David Bowie		2016-12-01 18:29:00	Breaking Glass
Blood Sugar Sex Magik	Red Hot Chili Peppers		2016-12-01 18:31:00	Breaking The Girl
Night And Day	Joe Jackson		2016-12-01 18:36:00	Breaking Us In Two
Big Boat	Phish		2016-12-01 18:42:00	Breath and Burning
Six Feet Under - Everything Ends (soundtrack)	Sia		2016-12-01 18:46:00	Breathe Me
Whatever And Ever, Amen	Ben Folds Five		2016-12-01 18:52:00	Brick
Var - Pure Funk	The Commodores		2016-12-01 18:56:00	Brick House
Blak and Blu	Gary Clark Jr.		2016-12-01 19:01:00	Bright Lights
Blues Masters Vol 2: Postwar Chicago	Jimmy Reed		2016-12-01 19:05:00	Bright Lights Big City
Before Today	Ariel Pink's Haunted Graffiti		2016-12-01 19:09:00	Bright Lit Blue Skies
Into The Music	Van Morrison		2016-12-01 19:11:00	Bright Side Of The Road
Brill Bruisers	The New Pornographers		2016-12-01 19:15:00	Brill Bruisers
Tunnel Of Love	Bruce Springsteen		2016-12-01 19:18:00	Brilliant Disguise
When I Was Born For The 7th Time	Cornershop		2016-12-01 19:22:00	Brimful Of Asha
The Real Folk Blues	Sonny Boy Williamson		2016-12-01 19:28:00	Bring It On Home
The Man And His Music	Sam Cooke		2016-12-01 19:31:00	Bring It On Home To Me
Royal Blue	Koko Taylor		2016-12-01 19:33:00	Bring Me Some Water
Psychedelic Swamp	Dr. Dog		2016-12-01 19:39:00	Bring My Baby Back
The Best Of Buffalo Springfield	Buffalo Springfield		2016-12-01 19:43:00	Broken Arrow
Broken English	Marianne Faithfull		2016-12-01 19:52:00	Broken English
B-Room	Dr. Dog		2016-12-01 19:56:00	Broken Heart
Super Hits Of The 70's	Stories		2016-12-01 20:04:00	Brother Louie
Blowin' Your Mind!	Van Morrison		2016-12-01 20:11:00	Brown Eyed Girl
Sticky Fingers	The Rolling Stones		2016-12-01 20:14:00	Brown Sugar
Bruised Orange	John Prine		2016-12-01 20:18:00	Bruised Orange
Brushfire Fairytales	Jack Johnson		2016-12-01 20:25:00	Bubble Toes
Wanted on Voyage	George Ezra		2016-12-01 20:28:00	Budapest
Weezer	Weezer		2016-12-01 20:32:00	Buddy Holly
