album	artist	time	track
The Beast In Its Tracks	Josh Ritter	2016-08-16 11:58:00	Joy to You Baby
Face To Face	The Kinks	2016-08-16 12:02:00	Sunny Afternoon
Awake Is The New Sleep	Ben Lee	2016-08-16 12:05:00	Catch My Disease
I?m Alone, No You?re Not	Joseph	2016-08-16 12:11:00	White Flag
Blues Masters, Volume 5: Jump Blues Classics	Big Mama Thornton	2016-08-16 12:17:00	Hound Dog
The Complete Sun Singles	Carl Perkins	2016-08-16 12:20:00	Blue Suede Shoes
Best Of	Tony Joe White	2016-08-16 12:22:00	Polk Salad Annie
The Sun Sessions	Elvis Presley	2016-08-16 12:27:00	That's All Right
Elvis Presley	Elvis Presley	2016-08-16 12:29:00	I Got A Woman
The Number One Hits	Elvis Presley	2016-08-16 12:32:00	Stuck On You
'68 Comeback	Elvis Presley	2016-08-16 12:34:00	Trouble / Guitar Man
'68 Comeback Special	Elvis Presley	2016-08-16 12:38:00	Heartbreak Hotel / Hound Dog / All Shook Up
The Impossible Bird	Nick Lowe	2016-08-16 12:42:00	True Love Travels On A Gravel Road
Fine Young Cannibals	Fine Young Cannibals	2016-08-16 12:46:00	Suspicious Minds
Heads Up	Warpaint	2016-08-16 12:52:00	New Song
Stranger To Stranger	Paul Simon	2016-08-16 12:56:00	Wristband
For Everyman	Jackson Browne	2016-08-16 12:59:00	These Days
Heart Like A Levee	Hiss Golden Messenger	2016-08-16 13:04:00	Biloxi
Human Performance	Parquet Courts	2016-08-16 13:07:00	Berlin Got Blurry
They Want My Soul	Spoon	2016-08-16 13:11:00	Rent I Pay
Yes	Morphine	2016-08-16 13:14:00	Honey White
Act One	Marian Hill	2016-08-16 13:17:00	I Want You
Jack White Acoustic Recordings 1998-2016	The White Stripes	2016-08-16 13:22:00	City Lights
The Joshua Tree	U2	2016-08-16 13:27:00	With Or Without You
Post Pop Depression	Iggy Pop	2016-08-16 13:32:00	Gardenia
The Marcus King Band	The Marcus King Band	2016-08-16 13:36:00	Ain't Nothing Wrong With That
single	The Menzingers	2016-08-16 13:41:00	Lookers
Boxer	The National	2016-08-16 13:45:00	Mistaken For Strangers
American Band	Drive-By Truckers	2016-08-16 13:50:00	What It Means
A Space In Time	Ten Years After	2016-08-16 13:56:00	I'd Love To Change The World
Columbia Rock-A-Billy (Volume 1)	The Collins Kids	2016-08-16 15:58:00	Party
20th Century Masters	Donnie Iris	2016-08-16 16:00:00	Ah! Leah!
Why Are You Ok	Band Of Horses	2016-08-16 16:05:00	In A Drawer
Magic Fire	The Stray Birds	2016-08-16 16:13:00	Shining In The Distance
Everyday	Widespread Panic	2016-08-16 16:17:00	Pickin' Up The Pieces
We All The Light	River Whyless	2016-08-16 16:21:00	All Day All Night
Adventure	Television	2016-08-16 16:25:00	Glory
(single)	Shark Tape	2016-08-16 16:28:00	All Damn Night
Impossible Dream	Haley Bonar	2016-08-16 16:33:00	I Can Change
The Hurting	Tears For Fears	2016-08-16 16:36:00	Change
Tightrope Walker	Rachael Yamagata	2016-08-16 16:41:00	Over
Hejira	Joni Mitchell	2016-08-16 16:45:00	Coyote
Real	Lydia Loveless	2016-08-16 16:52:00	Longer
East Side Story	Squeeze	2016-08-16 16:55:00	Tempted
Birds Say	Darlingside	2016-08-16 17:01:00	Birds Say
Paradise	The Wood Brothers	2016-08-16 17:03:00	Singin' To Strangers
Then Came The Morning	The Lone Bellow	2016-08-16 17:07:00	Then Came The Morning
Delilah	Anderson East	2016-08-16 17:11:00	Satisfy Me
How Will The Wolf Survive?	Los Lobos	2016-08-16 17:13:00	Will The Wolf Survive?
One For The Birds (e.p.)	American Dinosaur	2016-08-16 17:20:00	Sweepstakes
One For The Birds (e.p.)	American Dinosaur	2016-08-16 17:23:00	Lizard Queen
Dolls of Highland	Kyle Craft	2016-08-16 17:29:00	Eye Of A Hurricane
Stephen Malkmus	Stephen Malkmus	2016-08-16 17:33:00	Jenny & The Ess Dog
Golden Sings That Have Been Sung	Ryley Walker	2016-08-16 17:36:00	The Roundabout
Fragile	Yes	2016-08-16 17:40:00	Roundabout
Love & Hate	Michael Kiwanuka	2016-08-16 17:50:00	One More Night
Bringing Down The Horse	The Wallflowers	2016-08-16 17:54:00	6th Avenue Heartache
No. 6	The Coal Porters	2016-08-16 18:00:00	The Day The Last Ramone Died
Road To Ruin	The Ramones	2016-08-16 18:04:00	I'm Against It
Shouting At The Moon	Kevin Ayres	2016-08-16 18:07:00	Clarence In Wonderland
The Soft Machine	Soft Machine	2016-08-16 18:09:00	We Did It Again
Meddle	Pink Floyd	2016-08-16 18:13:00	One Of These Days
Aqualung	Jethro Tull	2016-08-16 18:19:00	Mother Goose
Children Of The Sun	Billy Thorpe	2016-08-16 18:23:00	Children Of The Sun
American Band	Drive-By Truckers	2016-08-16 18:31:00	What It Means
Sound & Color	Alabama Shakes	2016-08-16 18:37:00	Shoegaze
Spirit	Amos Lee	2016-08-16 18:40:00	Vaporize
Greetings From Asbury Park, New Jersey	Bruce Springsteen	2016-08-16 18:44:00	Growing Up
Sonderlust	Kishi Bashi	2016-08-16 18:47:00	Say Yeah
Introducing Karl Blau	Karl Blau	2016-08-16 18:52:00	To Love Somebody
Invincible Summer	k. d. lang	2016-08-16 18:56:00	Summerfling
Camp Songs	KB Whirly	2016-08-16 19:05:00	Camp Song
We Are The Not Its	The Not-Its!	2016-08-16 19:08:00	I Love Camping
The Bossy E	Mister G	2016-08-16 19:23:00	Camp
What A Zoo!	Joanie Leeds & The Nightlights	2016-08-16 19:25:00	Mosquitoes
Mosquito Party	Darryl Cherney	2016-08-16 19:28:00	Mosquito Party
Los Lobos Goes Disney	Los Lobos	2016-08-16 19:30:00	The Ugly Bug Ball
Poor Man's Diamonds	John Flynn	2016-08-16 19:34:00	Like Woody Done
Rise And Shine	Key Wilde & Mr. Clarke	2016-08-16 19:46:00	Favorite Names
Hey Pepito!	Key Wilde & Mr. Clarke	2016-08-16 19:48:00	Don Mario's Song
Club Called Awesome	The Singing Lizard	2016-08-16 19:52:00	I Spy
Make Believe	The Singing Lizard	2016-08-16 19:55:00	Every Day
Magic Fire	The Stray Birds	2016-08-16 20:00:00	Radio
Who The Hell Is John Eddie?	John Eddie	2016-08-16 20:04:00	If You're Here When I Get Back
Circle 'Round The Sun	Ben Arnold	2016-08-16 20:09:00	The More Things Change
If You Didn't Laugh You'd Cry	Marah	2016-08-16 20:14:00	Demon Of White Sadness
single	The GTVs	2016-08-16 20:17:00	Lingering Chills
Excellent Day	Lizanne Knott	2016-08-16 20:22:00	Why You Wanna Break My heart
single	Ben O'Neill	2016-08-16 20:25:00	Relatively Easy
Black Top Road EP	David Wilson	2016-08-16 20:29:00	Simple Mind (The Student Loan Song)
Higher Frequency	Ginger Coyle	2016-08-16 20:33:00	Rise Up
An Epic Battle Between Light and Dark	American Babies	2016-08-16 20:37:00	An Epic Battle Between Light and Dark
Heartland	Dan May	2016-08-16 20:42:00	The Mercy Line
Times Have Changed	Katie Barbato	2016-08-16 20:48:00	Candy
The Phoenix	Matt Duke	2016-08-16 20:51:00	Black Box
Mercy	John Flynn	2016-08-16 20:56:00	Eldorado
Asleep in the Flowers	Strange Parts	2016-08-16 21:01:00	Asleep in the Flowers
How Will I Know?	Dice Raw	2016-08-16 21:05:00	How Will I Know?
Tabestry: Prelaps	Milton	2016-08-16 21:08:00	Visions
Slay	Joie Kathos	2016-08-16 21:10:00	Slay
Shaking Hands and Kissing Babies	The Bul Bey	2016-08-16 21:14:00	So Much Farther To Go (ft. Faylin Johnson)
The Key Studio Sessions	Heart Harbor	2016-08-16 21:20:00	Key Studio Session 8/17/16 (pt 1)
The Key Studio Sessions	Heart Harbor	2016-08-16 21:26:00	Key Studio Session 8/17/16 (pt 2)
customs	deer scout	2016-08-16 21:36:00	up high
Ivy Tripp	Waxahatchee	2016-08-16 21:38:00	Summer Of Love
Riff Hard	Thin Lips	2016-08-16 21:40:00	Never Again
Light We Made	Balance and Composure	2016-08-16 21:43:00	Postcard
No Closer To Heaven	The Wonder Years	2016-08-16 21:47:00	Cigarettes And Saints
single	The Menzingers	2016-08-16 21:52:00	Lookers
The Boy Who Swallowed A Coin	Mary Lattimore	2016-08-16 21:57:00	The Boy Who Swallowed A Coin
Nathaniel Rateliff & The Night Sweats	Nathaniel Rateliff & The Night Sweats	2016-08-16 22:00:00	I Need Never Get Old
Bringing Down The Horse	The Wallflowers	2016-08-16 22:04:00	The Difference
Love, Shelby	Shelby Lynne	2016-08-16 22:08:00	Killin' Kind
A Moon Shaped Pool	Radiohead	2016-08-16 22:13:00	Decks Dark
The Adventures Of Panama Red	New Riders Of The Purple Sage	2016-08-16 22:17:00	Panama Red
Asking For Flowers	Kathleen Edwards	2016-08-16 22:20:00	Asking For Flowers
Dig In Deep	Bonnie Raitt	2016-08-16 22:25:00	Gypsy In Me
Stiff	White Denim	2016-08-16 22:29:00	Ha Ha Ha Ha (Yeah)
Before These Crowded Streets	Dave Matthews Band	2016-08-16 22:33:00	Don't Drink The Water
It's Heavy In Here	Eric Matthews	2016-08-16 22:38:00	Fanfare
Heart Like A Levee	Hiss Golden Messenger	2016-08-16 22:40:00	Biloxi
"""Ghostbusters"" Soundtrack"	Elle King	2016-08-16 22:44:00	Good Girls
Lost Together	Blue Rodeo	2016-08-16 22:46:00	Lost Together
Schmilco	Wilco	2016-08-16 22:52:00	If I Ever Was a Child
Walls And Bridges	John Lennon	2016-08-16 22:55:00	#9 Dream
